bowler,matches,innings,overs,maiden,wickets,avg,SR,economy
"B Kumar",87,86,298.3	,10,90,23.10,19.3,6.96
"Y Chahal",74,73,274.0,	1	,	90,24.91,18.2,8.18
"R Ashwin",65,65,242.0	,3,	72,23.52,20.1,	6.90
"J Bumrah",60,59,213.5,9,	70,20.22,18.3	,	6.62	
"H Pandya",81,70,211.5,1,	64,27.34,19.9,	8.22
"R Jadeja",64,62,206.1,4,	51,27.49,24.2,	7.04	
"Kuldeep Yadav",25,24,89.3,2,	44,14.02,12.4,	6.89	
"A Patel",40,39,124.1	,1,	37,25.10,20.1,	7.48	
"Arshdeep Singh",21,21,77.5,1,35,18.19,12.9	,	8.40	
"D Chahar",24,24,86.0,2,29,24.24	,17.7,8.17	
